བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
ནང་།,ང་ནི་མཱ་ལ་ལ་ཡིན།,BO0153,EN0153,I am Malala,,,ལོ་རྒྱུས།,,,,,,2375
ཕྱི།,རང་དབང་གསར་འགྱུར་འཇུག་སྒོ།,BO0154,EN0154,handbook of independent journalism by Deborah potter,,,གསར་འགོད།,,,,,,1275
ནང་།,ཤེས་རིག་སྨྲ་བའི་བསྡུས་དོན། ,BO0155,EN0155,An Outline of a Theory of Civilization,fukuzawa yukichi  ཧྥོའུ་ཁོའུ་ཛ་བཱ་ཡོའུ་ཁིས་ཆིས།,ཆ་རིས་སྐལ་བཟང་ཐོགས་མེད།,རྩོམ་རིག,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,268,,1975
ནང་།,ཆོས་ལུགས་ཀྱི་ངོ་བོའི་རྣམ་བཤད། ,BO0157,EN0157,The Essence of Religion ,ཧྥེ་ཨར་པ་ཧ། (འཇར་མན།),སྒོ་མེ་བཀྲ་ཤིས་ཟླ་བ།,ཆོས་ལུགས།,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,132,,568
ནང་།,མི་ཚེའི་མངོན་རྟོགས་མྱོང་གྲུབ། ,BO0161,EN0161,The Realisation of Life,ར་བཱིན་དྲ་ནཱཐ་ཐེ་གོར།,ཆ་རིས་སྐལ་བཟང་ཐོགས་མེད།,,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,198,,1488
ཕྱི།,ཆབ་མདོའི་གངས་སེང་ཞིག,BO0168,EN0168,THE LION FROM CHAMDO,དབུ་དཀར་ཚང་གཡུ་སྒྲོན།,ཌོག་ཋར་མཆོག་བསྟན་འཛིན་སྨོན་ལམ།,ལོ་རྒྱུས།,དབྱིན་ཡིག,,,,,175
ནང་།,བྱ་ལེན་མ་མངོན་པར་ཤེས་པའི་ཟློས་གར།,BO0173,EN0173,Sacontala: the Fatal Ring,ནག་མོ་ཁོལ། ,ཨོ་རྒྱན།,ཟློས་གར།,རྒྱ་ཡིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2009.0,251,,612
ནང་།,ཚོང་ལས་ཀྱི་ངོ་བོ།,BO0179,EN0179,The Real Life MBA,Jack Welch and Suzy Welch,གསེར་ཐང་གདུགས་དཀར་ཚེ་རིང་། སོ་ནག་ཚེ་རིང་བཀྲ་ཤིས།,དཔལ་འབྱོར།,རྒྱ་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2023.0,,,323
ནང་།,སློབ་གསོ་གླེང་བ།,BO0183,EN0183,On Education,J.krishnamurti ཀི་ཤ་ན་མུར་ཏི།,དབང་ཆེན་རྡོ་རྗེ།,སློབ་གསོ།,དབྱིན་ཡིག,ཀྲུང་གོ་རྒྱལ་སྤྱིའི་སྐད་ཡིག་དཔེ་སྐྲུན་ཁང་།,2017.0,335,,1487
ཕྱི།,ལཱ་ཐི་ཝི་ཡའི་རང་བཙན་རྩོད་ལེན་ལས་འགུལ་ཁྲོད་ཀྱི་འཚེ་མེད་ཞི་བའི་ལས་འགུལ་སྐོར།,BO0186,EN0186,nonviolent action in the liberation of latvia,Olgerts Eglitis,བཀའ་ཐུབ་རྒྱལ།,ཆབ་སྲིད།,རྒྱ་ཡིག,བོད་ཀྱི་ཡིག་སྒྱུར་ཁང་།,2005.0,170,,460
